page_number,page_size,cold_cache_time_ms,warm_cache_time_ms
1,5,25,4
2,5,11,7
3,5,13,4
4,5,14,3
5,5,13,3
6,5,12,3
7,5,13,3
8,5,13,3
9,5,12,5
10,5,13,4
11,5,13,5
12,5,13,2
13,5,13,3
14,5,13,5
15,5,13,4
16,5,12,3
17,5,13,4
18,5,13,3
19,5,13,3
20,5,12,3
21,5,13,3
22,5,13,2
23,5,13,4
24,5,14,4
25,5,14,4
26,5,13,4
27,5,13,4
28,5,13,3
29,5,13,5
30,5,13,3
31,5,13,4
32,5,12,3
33,5,13,3
34,5,13,5
35,5,13,4
36,5,14,3
37,5,13,3
38,5,13,3
39,5,13,3
40,5,12,4
41,5,13,4
42,5,14,4
43,5,13,4
44,5,13,3
45,5,13,3
46,5,12,4
47,5,13,4
48,5,14,3
49,5,14,3
50,5,14,3
51,5,13,3
52,5,13,3
53,5,13,3
54,5,13,4
55,5,13,8
56,5,14,3
57,5,13,3
58,5,13,4
59,5,12,4
60,5,14,3
61,5,13,3
62,5,11,4
63,5,12,3
64,5,13,3
65,5,13,4
66,5,14,4
67,5,12,4
68,5,13,2
69,5,12,3
70,5,12,3
71,5,12,3
72,5,12,5
73,5,12,3
74,5,12,3
75,5,12,4
76,5,13,3
77,5,12,4
78,5,13,4
79,5,12,4
80,5,14,2
81,5,14,3
82,5,13,3
83,5,12,3
84,5,12,4
85,5,14,4
86,5,12,4
87,5,13,3
88,5,13,4
89,5,13,3
90,5,13,4
91,5,13,2
92,5,13,3
93,5,13,3
94,5,12,3
95,5,12,3
96,5,11,4
97,5,13,3
98,5,13,4
99,5,13,4
100,5,12,3
101,5,13,2
102,5,13,4
103,5,13,3
104,5,12,2
105,5,13,3
106,5,12,3
107,5,13,4
108,5,12,8
109,5,15,3
110,5,13,3
111,5,13,3
112,5,13,3
113,5,12,4
114,5,12,4
115,5,15,4
116,5,13,3
117,5,12,4
118,5,13,3
119,5,11,4
120,5,13,3
121,5,13,3
122,5,13,3
123,5,12,5
124,5,13,2
125,5,13,3
126,5,13,3
127,5,12,4
128,5,13,4
129,5,13,4
130,5,13,4
131,5,12,3
132,5,13,3
133,5,13,4
134,5,13,4
135,5,12,4
136,5,13,3
137,5,15,3
138,5,12,3
139,5,13,4
140,5,12,5
141,5,13,3
142,5,13,4
143,5,13,3
144,5,13,4
145,5,14,3
146,5,13,3
147,5,12,3
148,5,13,3
149,5,13,3
150,5,13,3
151,5,13,3
152,5,14,3
153,5,12,5
154,5,14,4
155,5,19,3
156,5,13,4
157,5,13,5
158,5,13,3
159,5,15,3
160,5,14,3
161,5,13,3
162,5,13,2
163,5,13,4
164,5,13,4
165,5,12,4
166,5,14,3
167,5,13,3
168,5,13,3
169,5,13,4
170,5,14,3
171,5,13,3
172,5,14,3
173,5,13,3
174,5,12,4
175,5,13,3
176,5,14,3
177,5,12,4
178,5,13,4
179,5,13,3
180,5,13,4
181,5,12,5
182,5,13,3
183,5,14,3
184,5,14,4
185,5,13,3
186,5,12,4
187,5,13,4
188,5,13,4
189,5,13,3
190,5,13,3
191,5,13,3
192,5,12,4
193,5,13,4
194,5,13,4
195,5,13,3
196,5,14,3
197,5,13,4
198,5,13,2
199,5,13,3
200,5,13,4
201,5,13,4
202,5,12,4
203,5,13,3
204,5,13,3
205,5,12,4
206,5,13,3
207,5,13,3
208,5,14,3
209,5,12,4
210,5,13,4
211,5,13,4
212,5,13,4
213,5,12,4
214,5,13,2
215,5,12,4
216,5,12,3
217,5,12,4
218,5,14,3
219,5,13,4
220,5,13,3
221,5,13,3
222,5,12,3
223,5,13,3
224,5,13,4
225,5,12,4
226,5,11,4
227,5,14,4
228,5,13,3
229,5,13,5
230,5,15,3
231,5,12,3
232,5,12,3
233,5,14,2
234,5,14,3
235,5,13,3
236,5,13,3
237,5,13,3
238,5,14,3
239,5,12,3
240,5,12,2
241,5,15,3
242,5,13,4
243,5,12,5
244,5,12,4
245,5,12,3
246,5,12,4
247,5,13,3
248,5,13,3
249,5,13,3
250,5,12,4
251,5,12,4
252,5,13,4
253,5,13,3
254,5,13,3
255,5,12,4
256,5,12,3
257,5,11,4
258,5,13,4
259,5,15,3
260,5,13,3
261,5,13,4
262,5,12,4
263,5,12,3
264,5,14,4
265,5,13,3
266,5,14,5
267,5,12,3
268,5,12,4
269,5,13,4
270,5,14,2
271,5,13,3
272,5,13,4
273,5,13,3
274,5,13,4
275,5,13,5
276,5,12,3
277,5,14,4
278,5,13,4
279,5,12,4
280,5,12,4
281,5,13,3
282,5,13,3
283,5,12,3
284,5,12,4
285,5,14,3
286,5,12,4
287,5,13,6
288,5,14,5
289,5,14,4
290,5,12,4
291,5,14,3
292,5,13,4
293,5,13,3
294,5,13,4
295,5,12,3
296,5,12,4
297,5,14,3
298,5,13,4
299,5,12,4
300,5,13,3
301,5,13,3
302,5,13,3
303,5,13,4
304,5,12,4
305,5,12,5
306,5,13,3
307,5,12,4
308,5,13,3
309,5,15,4
310,5,13,3
311,5,13,4
312,5,13,2
313,5,12,3
314,5,13,3
315,5,14,4
316,5,13,4
317,5,13,3
318,5,13,3
319,5,13,4
320,5,13,2
321,5,14,5
322,5,13,4
323,5,13,3
324,5,12,3
325,5,13,3
326,5,12,3
327,5,12,4
328,5,13,3
329,5,13,4
330,5,12,5
331,5,13,3
332,5,12,3
333,5,13,4
334,5,13,4
335,5,13,3
336,5,13,2
337,5,13,5
338,5,13,4
339,5,14,4
340,5,13,3
341,5,14,3
342,5,13,5
343,5,13,4
344,5,14,3
345,5,13,4
346,5,14,4
347,5,12,4
348,5,12,3
349,5,13,3
350,5,13,4
351,5,12,4
352,5,15,4
353,5,13,4
354,5,13,4
355,5,13,6
356,5,13,3
357,5,13,3
358,5,14,4
359,5,13,3
360,5,13,4
361,5,13,4
362,5,13,2
363,5,13,4
364,5,13,3
365,5,12,5
366,5,13,2
367,5,14,3
368,5,12,3
369,5,13,4
370,5,13,3
371,5,12,3
372,5,13,4
373,5,14,3
374,5,12,4
375,5,13,4
376,5,13,3
377,5,13,2
378,5,13,3
379,5,13,3
380,5,12,4
381,5,12,4
382,5,13,3
383,5,13,3
384,5,13,5
385,5,13,4
386,5,14,4
387,5,13,4
388,5,12,4
389,5,13,4
390,5,13,3
391,5,13,3
392,5,13,4
393,5,13,5
394,5,22,5
395,5,12,4
396,5,12,4
397,5,13,4
398,5,13,4
399,5,14,4
400,5,12,5
401,5,15,3
402,5,13,3
403,5,13,4
404,5,13,4
405,5,13,4
406,5,13,4
407,5,14,3
408,5,12,3
409,5,13,3
410,5,13,4
411,5,12,4
412,5,13,4
413,5,13,4
414,5,13,3
415,5,13,4
416,5,12,4
417,5,13,4
418,5,13,4
419,5,13,3
420,5,13,3
421,5,13,4
422,5,12,4
423,5,13,3
424,5,13,3
425,5,11,4
426,5,13,3
427,5,12,3
428,5,12,4
429,5,14,4
430,5,13,3
431,5,13,3
432,5,12,3
433,5,12,3
434,5,12,3
435,5,14,3
436,5,12,4
437,5,13,4
438,5,14,4
439,5,13,3
440,5,13,3
441,5,13,3
442,5,12,3
443,5,12,4
444,5,13,3
445,5,13,4
446,5,13,3
447,5,15,4
448,5,13,3
449,5,12,3
450,5,12,3
451,5,12,4
452,5,12,5
453,5,14,4
454,5,13,3
455,5,12,4
456,5,14,3
457,5,13,3
458,5,14,4
459,5,12,6
460,5,13,4
461,5,13,3
462,5,12,4
463,5,14,3
464,5,12,8
465,5,14,4
466,5,13,4
467,5,13,4
468,5,13,3
469,5,12,4
470,5,13,3
471,5,13,4
472,5,12,4
473,5,12,4
474,5,12,5
475,5,12,4
476,5,16,4
477,5,15,4
478,5,12,3
479,5,14,3
480,5,13,3
481,5,13,4
482,5,12,4
483,5,14,3
484,5,12,4
485,5,12,4
486,5,13,4
487,5,11,6
488,5,13,4
489,5,14,3
490,5,12,3
491,5,13,4
492,5,14,3
493,5,13,4
494,5,13,4
495,5,13,3
496,5,13,3
497,5,13,3
498,5,13,3
499,5,12,4
500,5,13,3
501,5,13,5
502,5,13,3
503,5,13,4
504,5,12,4
505,5,12,3
506,5,14,3
507,5,15,3
508,5,11,5
509,5,13,4
510,5,13,4
511,5,13,4
512,5,13,4
513,5,14,4
514,5,12,4
515,5,11,4
516,5,15,3
517,5,13,3
518,5,12,4
519,5,14,3
520,5,13,3
521,5,13,4
522,5,13,4
523,5,13,4
524,5,14,3
525,5,12,4
526,5,13,5
527,5,12,3
528,5,14,3
529,5,13,3
530,5,13,5
531,5,13,2
532,5,12,8
533,5,12,5
534,5,12,4
535,5,12,4
536,5,14,4
537,5,13,4
538,5,12,4
539,5,12,4
540,5,12,3
541,5,12,3
542,5,14,3
543,5,13,3
544,5,14,3
545,5,13,4
546,5,12,3
547,5,12,3
548,5,12,5
549,5,13,4
550,5,13,2
551,5,14,4
552,5,12,4
553,5,13,3
554,5,13,3
555,5,13,6
556,5,14,3
557,5,20,6
558,5,14,4
559,5,18,5
560,5,14,4
561,5,14,5
562,5,17,7
563,5,15,5
564,5,15,4
565,5,13,4
566,5,14,5
567,5,15,3
568,5,12,6
569,5,13,4
570,5,14,3
571,5,13,5
572,5,13,4
573,5,12,5
574,5,12,5
575,5,12,3
576,5,12,3
577,5,13,4
578,5,12,4
579,5,12,5
580,5,12,4
581,5,13,4
582,5,14,3
583,5,14,2
584,5,12,3
585,5,13,3
586,5,12,4
587,5,13,4
588,5,14,3
589,5,12,4
590,5,12,3
591,5,12,3
592,5,13,6
593,5,14,4
594,5,15,3
595,5,12,3
596,5,13,3
597,5,12,4
598,5,13,4
599,5,12,4
600,5,14,4
601,5,12,4
602,5,12,2
603,5,13,3
604,5,13,2
605,5,13,4
606,5,13,4
607,5,13,4
608,5,13,3
609,5,11,3
610,5,12,3
611,5,12,4
612,5,13,4
613,5,12,4
614,5,14,3
615,5,13,3
616,5,13,4
617,5,13,3
618,5,14,3
619,5,13,4
620,5,13,3
621,5,13,3
622,5,12,4
623,5,13,5
624,5,13,3
625,5,13,3
626,5,13,3
627,5,13,4
628,5,13,3
629,5,13,4
630,5,12,4
631,5,13,4
632,5,13,2
633,5,15,4
634,5,14,14
635,5,13,4
636,5,13,4
637,5,14,4
638,5,12,4
639,5,13,4
640,5,12,3
641,5,13,4
642,5,12,4
643,5,13,4
644,5,13,3
645,5,13,3
646,5,13,3
647,5,13,4
648,5,13,4
649,5,13,3
650,5,14,3
651,5,12,4
652,5,12,3
653,5,13,3
654,5,14,3
655,5,13,4
656,5,13,3
657,5,13,3
658,5,13,3
659,5,11,5
660,5,13,4
661,5,19,4
662,5,12,5
663,5,13,3
664,5,13,4
665,5,14,3
666,5,12,4
667,5,13,3
668,5,13,4
669,5,13,3
670,5,13,3
671,5,14,3
672,5,12,5
673,5,13,4
674,5,14,4
675,5,12,4
676,5,12,3
677,5,13,4
678,5,13,4
679,5,13,4
680,5,15,3
681,5,13,4
682,5,13,4
683,5,14,4
684,5,13,3
685,5,12,3
686,5,12,5
687,5,13,4
688,5,14,4
689,5,15,4
690,5,12,4
691,5,12,3
692,5,14,3
693,5,12,3
694,5,13,4
695,5,15,4
696,5,14,3
697,5,12,4
698,5,13,3
699,5,13,4
700,5,13,4
701,5,12,5
702,5,13,4
703,5,14,3
704,5,12,4
705,5,13,3
706,5,13,3
707,5,15,3
708,5,14,3
709,5,12,4
710,5,12,3
711,5,13,4
712,5,13,3
713,5,14,3
714,5,12,3
715,5,12,3
716,5,14,4
717,5,12,4
718,5,14,3
719,5,15,4
720,5,12,4
721,5,13,3
722,5,13,3
723,5,13,4
724,5,12,3
725,5,13,4
726,5,13,4
727,5,13,4
728,5,12,4
729,5,13,4
730,5,12,3
731,5,13,5
732,5,12,3
733,5,14,4
734,5,14,4
735,5,12,4
736,5,12,6
737,5,13,4
738,5,13,4
739,5,13,3
740,5,13,5
741,5,13,4
742,5,13,4
743,5,14,3
744,5,13,3
745,5,13,4
746,5,12,4
747,5,13,4
748,5,12,4
749,5,14,3
750,5,13,5
751,5,13,3
752,5,15,3
753,5,13,3
754,5,13,3
755,5,13,7
756,5,12,3
757,5,12,3
758,5,13,3
759,5,13,4
760,5,13,3
761,5,13,4
762,5,13,4
763,5,13,4
764,5,13,4
765,5,13,3
766,5,13,4
767,5,13,4
768,5,13,3
769,5,13,3
770,5,13,4
771,5,12,4
772,5,13,3
773,5,13,3
774,5,11,5
775,5,13,4
776,5,12,3
777,5,13,3
778,5,14,4
779,5,13,5
780,5,13,4
781,5,12,4
782,5,12,4
783,5,13,3
784,5,13,3
785,5,13,3
786,5,12,4
787,5,13,3
788,5,13,4
789,5,13,3
790,5,13,3
791,5,13,3
792,5,13,3
793,5,13,4
794,5,12,3
795,5,13,3
796,5,11,3
797,5,13,5
798,5,15,4
799,5,12,4
800,5,13,3
801,5,13,4
802,5,13,4
803,5,13,5
804,5,13,4
805,5,13,3
806,5,13,4
807,5,12,4
808,5,11,4
809,5,13,4
810,5,13,4
811,5,13,3
812,5,12,2
813,5,12,3
814,5,13,2
815,5,12,4
816,5,14,3
817,5,13,4
818,5,13,4
819,5,13,3
820,5,12,3
821,5,13,4
822,5,13,4
823,5,12,4
824,5,13,3
825,5,12,4
826,5,11,5
827,5,14,3
828,5,13,3
829,5,12,3
830,5,11,4
831,5,12,4
832,5,13,3
833,5,13,4
834,5,12,4
835,5,22,4
836,5,12,3
837,5,13,4
838,5,13,3
839,5,12,5
840,5,12,3
841,5,13,3
842,5,12,4
843,5,13,7
844,5,12,4
845,5,14,3
846,5,13,3
847,5,12,4
848,5,13,3
849,5,13,3
850,5,13,4
851,5,13,6
852,5,13,3
853,5,13,4
854,5,12,3
855,5,12,5
856,5,13,4
857,5,13,3
858,5,12,3
