page_number,page_size,cold_cache_time_ms,warm_cache_time_ms
1,5,29,3
2,5,14,4
3,5,12,2
4,5,12,4
5,5,12,3
6,5,14,4
7,5,13,4
8,5,12,5
9,5,13,3
10,5,12,3
11,5,13,3
12,5,14,3
13,5,14,4
14,5,13,3
15,5,13,4
16,5,13,5
17,5,13,5
18,5,17,4
19,5,13,5
20,5,14,4
21,5,13,3
22,5,12,4
23,5,12,4
24,5,12,4
25,5,12,3
26,5,14,4
27,5,13,4
28,5,12,3
29,5,12,3
30,5,13,4
31,5,12,4
32,5,12,4
33,5,12,3
34,5,12,3
35,5,13,4
36,5,14,6
37,5,13,3
38,5,12,4
39,5,13,3
40,5,14,3
41,5,13,4
42,5,14,3
43,5,13,2
44,5,13,4
45,5,15,4
46,5,14,4
47,5,15,5
48,5,18,4
49,5,16,4
50,5,14,4
51,5,14,5
52,5,13,4
53,5,14,4
54,5,14,4
55,5,12,4
56,5,13,3
57,5,13,4
58,5,13,5
59,5,14,4
60,5,13,4
61,5,13,4
62,5,12,5
63,5,14,4
64,5,13,4
65,5,13,3
66,5,15,4
67,5,13,4
68,5,13,4
69,5,13,4
70,5,13,3
71,5,14,4
72,5,20,5
73,5,13,4
74,5,13,3
75,5,14,4
76,5,14,3
77,5,14,3
78,5,18,3
79,5,13,4
80,5,13,4
81,5,14,4
82,5,13,4
83,5,15,5
84,5,13,4
85,5,13,4
86,5,12,4
87,5,13,3
88,5,12,4
89,5,12,4
90,5,12,3
91,5,13,4
92,5,13,4
93,5,14,3
94,5,13,3
95,5,12,3
96,5,12,2
97,5,12,3
98,5,13,3
99,5,12,4
100,5,12,3
101,5,12,4
102,5,12,3
103,5,12,3
104,5,13,4
105,5,13,4
106,5,13,3
107,5,13,3
108,5,12,3
109,5,14,3
110,5,13,3
111,5,13,5
112,5,13,4
113,5,13,4
114,5,13,3
115,5,11,4
116,5,12,3
117,5,12,3
118,5,13,3
119,5,13,3
120,5,12,3
121,5,13,4
122,5,12,4
123,5,13,3
124,5,13,3
125,5,12,3
126,5,13,4
127,5,12,3
128,5,13,3
129,5,12,3
130,5,12,4
131,5,13,3
132,5,12,3
133,5,11,4
134,5,12,2
135,5,12,4
136,5,12,4
137,5,13,4
138,5,11,4
139,5,13,3
140,5,11,4
141,5,13,3
142,5,13,3
143,5,14,3
144,5,12,4
145,5,12,3
146,5,11,5
147,5,12,5
148,5,12,4
149,5,13,3
150,5,12,3
151,5,12,4
152,5,12,3
153,5,12,3
154,5,11,3
155,5,13,3
156,5,13,3
157,5,12,3
158,5,11,4
159,5,12,3
160,5,12,3
161,5,12,4
162,5,13,4
163,5,12,4
164,5,12,3
165,5,12,3
166,5,12,3
167,5,13,3
168,5,13,4
169,5,12,3
170,5,13,4
171,5,12,3
172,5,14,4
173,5,12,8
174,5,13,3
175,5,12,3
176,5,12,3
177,5,13,4
178,5,13,5
179,5,13,4
180,5,13,5
181,5,12,4
182,5,13,3
183,5,13,4
184,5,12,3
185,5,12,3
186,5,13,4
187,5,14,3
188,5,13,3
189,5,13,4
190,5,12,4
191,5,12,3
192,5,13,3
193,5,14,3
194,5,13,2
195,5,13,4
196,5,13,3
197,5,12,4
198,5,13,3
199,5,13,3
200,5,12,3
201,5,12,3
202,5,12,3
203,5,12,3
204,5,12,3
205,5,13,3
206,5,13,3
207,5,13,29
208,5,13,3
209,5,13,3
210,5,13,3
211,5,12,4
212,5,12,5
213,5,11,5
214,5,12,3
215,5,13,3
216,5,12,4
217,5,13,3
218,5,13,3
219,5,12,4
220,5,13,4
221,5,12,4
222,5,14,4
223,5,12,3
224,5,13,3
225,5,13,3
226,5,12,3
227,5,13,3
228,5,12,3
229,5,14,4
230,5,13,3
231,5,12,3
232,5,12,3
